TARGET_TYPE	TYPE_META_VER
oracle_si_network_data_link_host_remote	13.04
oracle_si_network_data_link_host_remote	13.41020
oracle_si_network_data_link_pdu	13.01
oracle_si_network_data_link_pdu	13.02
oracle_si_network_data_link_pdu	13.03
oracle_si_network_data_link_pdu	13.04
oracle_si_network_data_link_pdu	13.04013
oracle_si_network_data_link_pdu	13.41020
oracle_si_network_data_link_server	13.01
oracle_si_network_data_link_server	13.02
oracle_si_network_data_link_server	13.03
oracle_si_network_data_link_server	13.03814
oracle_si_network_data_link_server	13.04
oracle_si_network_data_link_server	13.05
oracle_si_network_data_link_server	13.06
oracle_si_network_data_link_server	13.07
oracle_si_network_data_link_server	13.41020
oracle_si_network_data_link_server	13.41044
oracle_si_network_data_link_switch	13.01
oracle_si_network_data_link_switch	13.02
oracle_si_network_data_link_switch	13.03
oracle_si_network_data_link_switch	13.04
oracle_si_network_data_link_switch	13.05
oracle_si_network_data_link_switch	13.06
oracle_si_network_data_link_switch	13.06009
oracle_si_network_data_link_switch	13.41020
oracle_si_network_data_link_switch	13.41044
oracle_si_network_data_link_switch	13.41104
oracle_si_network_data_link_virtual_server	13.01
oracle_si_network_data_link_virtual_server	13.02
oracle_si_network_data_link_virtual_server	13.03
oracle_si_network_data_link_virtual_server	13.03814
oracle_si_network_data_link_virtual_server	13.04
oracle_si_network_data_link_virtual_server	13.05
oracle_si_network_data_link_virtual_server	13.06
oracle_si_network_data_link_virtual_server	13.07
oracle_si_network_data_link_virtual_server	13.41020
oracle_si_network_data_link_virtual_server	13.41044
oracle_si_network_data_link_zfssa	13.01
oracle_si_network_data_link_zfssa	13.02
oracle_si_network_data_link_zfssa	13.03
oracle_si_network_data_link_zfssa	13.04
oracle_si_network_data_link_zfssa	13.04802
oracle_si_network_data_link_zfssa	13.05
oracle_si_network_data_link_zfssa	13.06
oracle_si_network_data_link_zfssa	13.41020
oracle_si_network_data_link_zfssa	13.41104
oracle_si_network_interface_host	5.1
oracle_si_network_interface_host	5.5
oracle_si_network_interface_host	5.500013
oracle_si_network_interface_host	5.500034
oracle_si_network_interface_host	5.500044
oracle_si_network_interface_host	5.500113
oracle_si_network_interface_host	5.500139
oracle_si_network_interface_host_remote	13.01
oracle_si_network_interface_host_remote	13.02
oracle_si_network_interface_host_remote	13.04
oracle_si_network_interface_host_remote	13.41020
oracle_si_network_interface_pdu	13.01
oracle_si_network_interface_pdu	13.02
oracle_si_network_interface_pdu	13.03
oracle_si_network_interface_pdu	13.04
oracle_si_network_interface_pdu	13.04013
oracle_si_network_interface_pdu	13.41020
oracle_si_network_interface_server	13.01
oracle_si_network_interface_server	13.02
oracle_si_network_interface_server	13.03
oracle_si_network_interface_server	13.03814
oracle_si_network_interface_server	13.04
oracle_si_network_interface_server	13.05
oracle_si_network_interface_server	13.06
oracle_si_network_interface_server	13.07
oracle_si_network_interface_server	13.41020
oracle_si_network_interface_server	13.41044
oracle_si_network_interface_switch	13.01
oracle_si_network_interface_switch	13.02
oracle_si_network_interface_switch	13.03
oracle_si_network_interface_switch	13.04
oracle_si_network_interface_switch	13.05
oracle_si_network_interface_switch	13.06
oracle_si_network_interface_switch	13.06009
oracle_si_network_interface_switch	13.41020
oracle_si_network_interface_switch	13.41044
oracle_si_network_interface_switch	13.41104
oracle_si_network_interface_virtual_server	13.01
oracle_si_network_interface_virtual_server	13.02
oracle_si_network_interface_virtual_server	13.03
oracle_si_network_interface_virtual_server	13.03814
oracle_si_network_interface_virtual_server	13.04
oracle_si_network_interface_virtual_server	13.05
oracle_si_network_interface_virtual_server	13.06
oracle_si_network_interface_virtual_server	13.07
oracle_si_network_interface_virtual_server	13.41020
oracle_si_network_interface_virtual_server	13.41044
oracle_si_network_interface_zfssa	13.01
oracle_si_network_interface_zfssa	13.02
oracle_si_network_interface_zfssa	13.03
oracle_si_network_interface_zfssa	13.04
oracle_si_network_interface_zfssa	13.04802
oracle_si_network_interface_zfssa	13.05
oracle_si_network_interface_zfssa	13.06
oracle_si_network_interface_zfssa	13.41020
oracle_si_network_interface_zfssa	13.41104
oracle_si_network_port_cell	13.1
oracle_si_network_port_cell	13.2
oracle_si_network_port_cell	13.20652
oracle_si_network_port_cell	13.3
oracle_si_network_port_cell	13.30846
oracle_si_network_port_cell	13.4
oracle_si_network_port_cell	13.42
oracle_si_network_port_cell	13.51
oracle_si_network_port_cell	13.51025
oracle_si_network_port_cell	13.51039
oracle_si_network_port_cell	13.51048
oracle_si_network_port_pdu	13.01
oracle_si_network_port_pdu	13.02
oracle_si_network_port_pdu	13.03
oracle_si_network_port_pdu	13.04
oracle_si_network_port_pdu	13.04013
oracle_si_network_port_pdu	13.41020
oracle_si_network_port_server	13.01
oracle_si_network_port_server	13.02
oracle_si_network_port_server	13.03
oracle_si_network_port_server	13.03814
oracle_si_network_port_server	13.04
oracle_si_network_port_server	13.05
oracle_si_network_port_server	13.06
oracle_si_network_port_server	13.07
oracle_si_network_port_server	13.41020
oracle_si_network_port_server	13.41044
oracle_si_network_port_switch	13.01
oracle_si_network_port_switch	13.02
oracle_si_network_port_switch	13.03
oracle_si_network_port_switch	13.04
oracle_si_network_port_switch	13.05
oracle_si_network_port_switch	13.06
oracle_si_network_port_switch	13.06009
oracle_si_network_port_switch	13.41020
oracle_si_network_port_switch	13.41044
oracle_si_network_port_switch	13.41104
oracle_si_network_port_virtual_server	13.01
oracle_si_network_port_virtual_server	13.02
oracle_si_network_port_virtual_server	13.03
oracle_si_network_port_virtual_server	13.03814
oracle_si_network_port_virtual_server	13.04
oracle_si_network_port_virtual_server	13.05
oracle_si_network_port_virtual_server	13.06
oracle_si_network_port_virtual_server	13.07
oracle_si_network_port_virtual_server	13.41020
oracle_si_network_port_virtual_server	13.41044
oracle_si_network_port_zfssa	13.01
oracle_si_network_port_zfssa	13.02
oracle_si_network_port_zfssa	13.03
oracle_si_network_port_zfssa	13.04
oracle_si_network_port_zfssa	13.04802
oracle_si_network_port_zfssa	13.05
oracle_si_network_port_zfssa	13.06
oracle_si_network_port_zfssa	13.41020
oracle_si_network_port_zfssa	13.41104
oracle_si_osservice_host	5.1
oracle_si_osservice_host	5.5
oracle_si_osservice_host	5.500013
oracle_si_osservice_host	5.500034
oracle_si_osservice_host	5.500044
oracle_si_osservice_host	5.500113
oracle_si_osservice_host	5.500139
oracle_si_osservice_host_remote	13.01
oracle_si_osservice_host_remote	13.02
oracle_si_osservice_host_remote	13.04
oracle_si_osservice_host_remote	13.41020
oracle_si_osservice_zfssa	13.01
oracle_si_osservice_zfssa	13.02
oracle_si_osservice_zfssa	13.03
oracle_si_osservice_zfssa	13.04
oracle_si_osservice_zfssa	13.04802
oracle_si_osservice_zfssa	13.05
